model,config,split,accuracy,precision_hallucinated,recall_hallucinated,f1_hallucinated,f1_not_hallucinated,f1_macro
Gradient Boosting,"n_estimators=100, learning_rate=0.1, max_depth=2",test,0.7939,0.7828,0.7375,0.7594,0.8197,0.7896
Gradient Boosting,"n_estimators=100, learning_rate=0.1, max_depth=3",validation,0.85,0.8559,0.834,0.8448,0.8548,0.8498
Gradient Boosting,"n_estimators=100, learning_rate=0.1, max_depth=3",test,0.8024,0.7782,0.7722,0.7752,0.8237,0.7995
Gradient Boosting,"n_estimators=150, learning_rate=0.03, max_depth=2",validation,0.8542,0.8634,0.834,0.8485,0.8594,0.854
Gradient Boosting,"n_estimators=150, learning_rate=0.03, max_depth=2",test,0.7853,0.7692,0.7336,0.751,0.8114,0.7812
Gradient Boosting,"n_estimators=150, learning_rate=0.03, max_depth=3",validation,0.8625,0.869,0.8468,0.8578,0.8669,0.8623
Gradient Boosting,"n_estimators=150, learning_rate=0.03, max_depth=3",test,0.816,0.7893,0.7954,0.7923,0.8349,0.8136
Gradient Boosting,"n_estimators=150, learning_rate=0.05, max_depth=2",validation,0.8438,0.8448,0.834,0.8394,0.8479,0.8436
Gradient Boosting,"n_estimators=150, learning_rate=0.05, max_depth=2",test,0.7905,0.7787,0.7336,0.7555,0.8167,0.7861
Gradient Boosting,"n_estimators=150, learning_rate=0.05, max_depth=3",validation,0.85,0.8468,0.8468,0.8468,0.8531,0.8499
Gradient Boosting,"n_estimators=150, learning_rate=0.05, max_depth=3",test,0.816,0.7893,0.7954,0.7923,0.8349,0.8136
Gradient Boosting,"n_estimators=150, learning_rate=0.1, max_depth=2",validation,0.8271,0.822,0.8255,0.8238,0.8303,0.827
Gradient Boosting,"n_estimators=150, learning_rate=0.1, max_depth=2",test,0.7871,0.7746,0.7297,0.7515,0.8137,0.7826
Gradient Boosting,"n_estimators=150, learning_rate=0.1, max_depth=3",validation,0.8542,0.8603,0.8383,0.8491,0.8589,0.854
Gradient Boosting,"n_estimators=150, learning_rate=0.1, max_depth=3",test,0.7939,0.7717,0.7568,0.7641,0.8169,0.7905
Gradient Boosting,"n_estimators=250, learning_rate=0.03, max_depth=2",validation,0.8417,0.8442,0.8298,0.8369,0.8462,0.8415
Gradient Boosting,"n_estimators=250, learning_rate=0.03, max_depth=2",test,0.7956,0.786,0.7375,0.761,0.8214,0.7912
Gradient Boosting,"n_estimators=250, learning_rate=0.03, max_depth=3",validation,0.8604,0.859,0.8553,0.8571,0.8635,0.8603
Gradient Boosting,"n_estimators=250, learning_rate=0.03, max_depth=3",test,0.816,0.7915,0.7915,0.7915,0.8354,0.8134
Gradient Boosting,"n_estimators=250, learning_rate=0.05, max_depth=2",validation,0.8292,0.8228,0.8298,0.8263,0.832,0.8291
Gradient Boosting,"n_estimators=250, learning_rate=0.05, max_depth=2",test,0.7819,0.761,0.7375,0.749,0.8072,0.7781
Gradient Boosting,"n_estimators=250, learning_rate=0.05, max_depth=3",validation,0.8479,0.8522,0.834,0.843,0.8525,0.8478
Gradient Boosting,"n_estimators=250, learning_rate=0.05, max_depth=3",test,0.8075,0.7808,0.7838,0.7823,0.8275,0.8049
Gradient Boosting,"n_estimators=250, learning_rate=0.1, max_depth=2",validation,0.825,0.8297,0.8085,0.819,0.8306,0.8248
Gradient Boosting,"n_estimators=250, learning_rate=0.1, max_depth=2",test,0.7922,0.7729,0.749,0.7608,0.8163,0.7885
Gradient Boosting,"n_estimators=250, learning_rate=0.1, max_depth=3",validation,0.8479,0.8584,0.8255,0.8416,0.8537,0.8477
Gradient Boosting,"n_estimators=250, learning_rate=0.1, max_depth=3",test,0.7888,0.7647,0.7529,0.7588,0.8121,0.7854
